0.878,0.880,0.289,0.464,0.496,0.735,0.379,0.504,0.685,0.368
0.920,0.918,0.193,0.355,0.378,0.754,0.282,0.542,0.618,0.222
1.000,1.000,0.507,0.922,0.047,0.998,0.918,0.063,0.997,0.966
0.944,0.955,0.370,0.618,0.392,0.814,0.567,0.412,0.817,0.569
0.878,0.880,0.289,0.463,0.496,0.736,0.379,0.505,0.685,0.367
0.875,0.879,0.292,0.471,0.497,0.731,0.384,0.500,0.688,0.375
0.939,0.936,0.149,0.301,0.310,0.767,0.233,0.561,0.581,0.165
0.970,0.968,0.086,0.220,0.216,0.808,0.159,0.586,0.548,0.095
0.980,0.979,0.046,0.135,0.120,0.809,0.101,0.635,0.436,0.044
0.988,0.988,0.023,0.075,0.054,0.812,0.056,0.687,0.309,0.018
0.921,0.919,0.193,0.357,0.381,0.756,0.283,0.541,0.622,0.223
0.968,0.966,0.090,0.225,0.222,0.804,0.164,0.585,0.548,0.099
0.981,0.980,0.046,0.138,0.123,0.813,0.102,0.633,0.445,0.045
0.988,0.987,0.023,0.076,0.056,0.812,0.057,0.685,0.312,0.018
0.871,0.876,0.299,0.478,0.495,0.728,0.392,0.498,0.689,0.384
0.918,0.915,0.203,0.370,0.397,0.755,0.293,0.537,0.630,0.237
0.920,0.917,0.195,0.359,0.382,0.755,0.284,0.541,0.621,0.225
0.941,0.938,0.145,0.296,0.305,0.769,0.229,0.562,0.579,0.161
0.876,0.880,0.291,0.470,0.497,0.732,0.383,0.500,0.688,0.374
0.879,0.882,0.288,0.464,0.496,0.737,0.378,0.504,0.686,0.367
0.940,0.937,0.147,0.299,0.308,0.767,0.231,0.562,0.580,0.164
0.995,0.995,0.010,0.042,0.025,0.850,0.028,0.744,0.233,0.007
0.921,0.918,0.192,0.356,0.378,0.755,0.282,0.541,0.619,0.222
0.943,0.940,0.142,0.292,0.301,0.771,0.225,0.564,0.578,0.157
0.881,0.883,0.285,0.459,0.495,0.739,0.375,0.507,0.684,0.363
0.968,0.966,0.089,0.225,0.221,0.804,0.164,0.585,0.548,0.098
0.981,0.980,0.046,0.137,0.123,0.814,0.101,0.632,0.446,0.045
0.988,0.987,0.023,0.076,0.056,0.812,0.057,0.685,0.312,0.018
0.872,0.877,0.297,0.477,0.496,0.729,0.390,0.498,0.689,0.382
0.917,0.914,0.203,0.369,0.396,0.754,0.293,0.537,0.629,0.237
